rank,total_amount_eth,total_amount_usd,address_short,last_campaign_end,last_found_date,min_unclaimed_days,max_unclaimed_days,avg_unclaimed_days,avg_claim_probability,total_campaigns,unique_tokens,unique_chains,max_score,total_expected_value,urgency,profit_tier,value_density,inactivity_score,time_decay_risk,recommended_action,opportunity_type,tokens_breakdown,chains_breakdown,whale_flag,is_diversified,address_score
1299,0.01013968,22.14,0xf9f8...e950,2026-02-18,2026-04-13,53.0,53.0,53.0,95.0,2,1,1,30.753492,5.54,low,micro,1.29,low,medium,monitor_monthly,high_confidence_low_value,MORPHO:0.0101ETH,Arbitrum:0.0101ETH,no,no,33.5823
1317,0.0099665,21.76,0xb9e9...67cb,2026-02-18,2026-04-13,53.0,53.0,53.0,95.0,2,1,1,30.7491625,5.44,low,micro,1.27,low,medium,monitor_monthly,high_confidence_low_value,MORPHO:0.01ETH,Arbitrum:0.01ETH,no,no,33.5732
1335,0.0097473,21.28,0x4dc9...0109,2026-02-18,2026-04-13,53.0,53.0,53.0,95.0,2,1,1,30.7436825,5.32,low,micro,1.24,low,medium,monitor_monthly,high_confidence_low_value,MORPHO:0.0097ETH,Arbitrum:0.0097ETH,no,no,33.5617
1353,0.00951216,20.78,0xb926...e6ba,2026-04-14,2026-04-13,0.0,0.0,0.0,92.0,1,1,1,30.075608,5.2,low,micro,2.42,very_low,very_high,monitor_monthly,high_confidence_low_value,MORPHO:0.0095ETH,Base:0.0095ETH,no,no,32.0832
1371,0.00929576,20.3,0xbc7a...64ec,2026-04-14,2026-04-13,0.0,0.0,0.0,92.0,1,1,1,30.064787999999997,5.08,low,micro,2.37,very_low,very_high,monitor_monthly,high_confidence_low_value,MORPHO:0.0093ETH,Base:0.0093ETH,no,no,32.0713
1389,0.00904653,19.76,0xa6e4...684f,2026-04-14,2026-04-13,0.0,0.0,0.0,92.0,1,1,1,30.0523265,4.94,low,micro,2.3,very_low,very_high,monitor_monthly,high_confidence_low_value,MORPHO:0.009ETH,Base:0.009ETH,no,no,32.0576
1407,0.00890046,19.44,0x1ef6...4911,2026-04-14,2026-04-13,0.0,0.0,0.0,92.0,1,1,1,30.045022999999997,4.86,low,micro,2.27,very_low,very_high,monitor_monthly,high_confidence_low_value,MORPHO:0.0089ETH,Base:0.0089ETH,no,no,32.0495
1425,0.00874513,19.1,0x63f9...a1d0,2026-04-14,2026-04-13,0.0,0.0,0.0,92.0,1,1,1,30.037256499999998,4.78,low,micro,2.23,very_low,very_high,monitor_monthly,high_confidence_low_value,MORPHO:0.0087ETH,Base:0.0087ETH,no,no,32.041
1443,0.00855856,18.69,0x6399...49a0,2026-04-14,2026-04-13,0.0,0.0,0.0,92.0,1,1,1,30.027928,4.67,low,micro,2.18,very_low,very_high,monitor_monthly,high_confidence_low_value,MORPHO:0.0086ETH,Base:0.0086ETH,no,no,32.0307
1461,0.00847708,18.509999999999998,0x47c5...609d,2026-04-16,2026-04-13,0.0,3.0,2.0,57.0,3,2,1,19.282324999999997,3.7,low,micro,0.93,very_low,very_high,monitor_monthly,speculative,PYUSD:0.0048ETH; RLUSD:0.0036ETH,Ethereum:0.0085ETH,no,yes,21.9521
